ID,Number,From,To,WaitToBoard,TotalTime
335,1,1,2,11,21
340,1,1,2,3,13
334,4,1,4,12,35
339,3,1,6,5,43
337,6,4,6,30,44
336,5,3,1,59,78
338,2,2,1,67,77
341,2,1,4,73,93
343,4,2,6,76,100
342,6,2,1,121,131
345,2,2,1,6,14
346,2,1,2,13,25
348,2,1,2,8,20
351,4,2,4,14,32
349,6,1,6,4,47
350,3,1,2,65,73
344,5,3,4,94,104
347,6,3,5,108,121
354,1,4,3,11,19
352,4,5,1,3,32
357,2,1,3,22,34
356,4,1,4,26,50
355,3,3,4,42,53
360,1,4,5,36,44
353,1,3,6,45,73
358,4,6,5,60,70
361,3,3,2,78,86
359,2,4,1,74,98
362,3,1,2,3,11
363,2,6,3,27,41
364,5,1,2,9,20
372,4,3,4,15,25
368,2,1,5,0,37
371,1,4,5,27,35
365,5,6,2,55,75
366,4,6,1,51,80
370,4,1,4,74,91
369,5,1,5,75,101
367,6,6,3,113,129
373,6,2,3,6,16
374,2,6,1,26,52
380,2,4,1,25,40
377,5,1,2,43,54
376,2,1,4,45,68
375,2,2,6,61,83
378,5,1,6,97,119
379,6,1,6,138,160
384,1,6,5,3,11
383,3,5,3,15,32
385,5,4,1,17,38
382,5,1,3,47,67
381,5,1,4,198,227
389,3,5,6,70,78
390,1,6,5,79,88
391,3,6,1,76,110
388,5,4,1,96,113
392,3,1,2,109,117
386,2,2,3,125,135
387,2,2,3,123,133
394,4,1,2,9,19
393,4,2,6,20,47
396,5,5,6,33,45
397,1,5,6,33,45
398,5,5,1,50,81
399,4,3,1,58,77
400,5,5,6,91,101
395,3,2,1,129,137
401,3,1,6,3,29
402,2,5,6,17,26
408,5,6,5,13,23
403,4,5,3,34,47
404,3,2,1,53,61
406,4,1,5,59,80
405,6,1,6,61,91
409,1,1,4,103,120
407,2,1,6,107,137
410,5,1,6,103,133
411,2,1,6,99,129
412,3,4,1,9,23
414,4,1,2,17,29
415,4,3,4,34,44
416,6,1,6,12,60
421,3,5,6,41,51
413,5,6,5,69,79
419,1,4,2,76,87
417,4,5,1,70,99
418,1,1,2,99,108
420,5,1,3,95,113
422,3,5,6,9,17
424,6,5,1,17,42
426,3,2,1,29,39
423,2,2,5,54,68
425,1,2,6,48,70
427,4,1,2,18,28
429,1,1,3,12,31
428,1,2,6,26,48
430,4,6,1,46,74
431,3,2,1,61,71
432,6,6,2,18,38
434,3,6,1,14,42
437,4,1,4,38,60
436,2,2,5,50,72
433,3,4,5,69,78
435,3,1,6,43,83
439,4,6,5,77,87
441,2,1,2,99,109
438,5,2,5,116,132
440,5,1,6,100,136
445,4,1,2,8,20
444,2,2,4,25,36
443,4,1,5,14,48
446,2,4,5,29,38
442,2,1,6,18,60
447,6,5,6,6,16
451,5,1,2,28,40
450,1,2,4,44,62
449,4,3,4,53,63
448,5,1,5,33,73
456,3,1,3,8,26
452,1,1,4,15,41
457,2,1,5,8,42
453,4,2,6,21,55
455,6,3,1,65,84
454,2,2,1,78,88
458,5,1,6,82,104
459,3,2,1,15,23
460,3,1,5,24,41
462,3,2,1,12,26
468,2,2,1,3,12
461,4,1,2,27,38
463,4,1,4,25,49
465,1,2,6,32,56
469,2,4,6,38,49
470,2,3,2,59,67
464,3,1,3,89,107
467,2,1,3,82,100
466,6,2,6,112,131
474,2,1,2,13,22
471,3,1,3,18,36
475,3,2,4,23,39
473,1,6,1,51,78
472,4,2,1,68,78
477,3,1,2,1,11
478,2,1,2,1,11
476,1,1,6,3,30
479,6,1,3,18,31
480,1,3,6,32,46
481,2,3,2,12,20
487,6,2,1,3,13
483,4,1,3,27,41
482,3,1,5,28,59
485,4,4,6,42,60
484,2,4,2,74,86
486,2,4,1,67,91
488,6,2,1,74,85
489,4,6,5,18,29
491,2,6,5,17,28
493,2,6,1,13,47
495,2,2,1,33,42
490,4,1,2,52,63
492,4,1,4,50,73
497,3,1,2,80,90
496,2,1,5,80,104
494,4,1,6,82,115
498,4,1,6,132,154
499,1,3,1,12,32
500,3,2,1,19,31
501,5,2,1,19,31
503,4,2,5,32,55
502,5,4,5,47,58
504,4,4,1,60,76
64,4,5,1,75,-1
142,5,6,1,75,-1
